effective_date,rediscount_rate,advance_rate,year,month
1990-01-01,40.0,45.0,1990,1
1990-09-20,43.0,48.25,1990,9
1990-11-23,45.0,50.75,1990,11
1991-02-15,48.0,54.5,1991,2
1994-01-27,56.0,65.0,1994,1
1994-04-21,79.0,98.0,1994,4
1994-07-12,70.0,85.0,1994,7
1994-07-27,63.0,75.0,1994,7
1994-10-01,55.0,64.0,1994,10
1995-06-10,52.0,60.0,1995,6
1995-08-01,50.0,57.0,1995,8
1997-08-02,67.0,80.0,1997,8
1999-12-30,60.0,70.0,1999,12
2002-05-17,55.0,64.0,2002,5
2003-06-14,50.0,57.0,2003,6
2003-10-08,43.0,48.0,2003,10
2004-06-15,38.0,42.0,2004,6
2005-01-13,32.0,35.0,2005,1
2005-05-25,28.0,30.0,2005,5
2005-12-20,23.0,25.0,2005,12
2006-12-20,27.0,29.0,2006,12
2007-12-28,25.0,27.0,2007,12
2009-04-09,19.0,20.0,2009,4
2009-06-12,18.0,19.0,2009,6
2009-12-22,15.0,16.0,2009,12
2010-12-30,14.0,15.0,2010,12
2011-12-29,17.0,17.75,2011,12
2012-06-19,16.0,16.5,2012,6
2012-12-20,13.5,13.75,2012,12
2013-06-21,9.5,11.0,2013,6
2013-12-27,10.25,11.75,2013,12
2014-12-14,9.0,10.5,2014,12
2016-12-31,8.75,9.75,2016,12
2018-06-29,18.5,19.5,2018,6
2019-10-11,17.25,18.25,2019,10
2019-12-21,12.75,13.75,2019,12
2020-06-13,9.0,10.0,2020,6
2020-12-19,15.75,16.75,2020,12
2021-12-31,14.75,15.75,2021,12
2022-12-31,9.75,10.75,2022,12
2023-06-24,15.75,16.75,2023,6
2023-09-01,25.75,26.75,2023,9
2023-09-28,30.75,31.75,2023,9
2023-11-01,35.75,36.75,2023,11
2023-12-01,40.75,41.75,2023,12
2023-12-23,43.25,44.25,2023,12
2024-04-01,50.75,51.75,2024,4
2024-12-28,48.25,49.25,2024,12
2025-03-08,43.25,44.25,2025,3
2025-09-17,41.25,42.25,2025,9
